CHEMBL2|PRAZOSIN
CHEMBL1728|LOMEFLOXACIN HYDROCHLORIDE
CHEMBL1729|CISAPRIDE
CHEMBL1730|CEFOTAXIME
CHEMBL1732|DIHYDROERGOTAMINE
CHEMBL1734|SOLIFENACIN
CHEMBL1735|INDINAVIR SULFATE
CHEMBL1737|SILDENAFIL CITRATE
CHEMBL1738|DEXRAZOXANE
CHEMBL1739|METOCURINE IODIDE
CHEMBL1750|CLOFARABINE
CHEMBL1751|DIGOXIN
CHEMBL1752|DYPHYLLINE
CHEMBL1755|CONIVAPTAN
CHEMBL1761|PROCYCLIDINE HYDROCHLORIDE
CHEMBL1763|HYDROFLUMETHIAZIDE
CHEMBL1764|LEVOMEPROMAZINE
CHEMBL1766|DESOXIMETASONE
CHEMBL1768|BETHANECHOL CHLORIDE
CHEMBL1769|PROPOXYCAINE HYDROCHLORIDE
CHEMBL1770|LEVAMISOLE HYDROCHLORIDE
CHEMBL1771|CLOPIDOGREL
CHEMBL1773|CAPECITABINE
CHEMBL6437|MIANSERIN
CHEMBL6466|COUMARIN
CHEMBL6622|ISOSORBIDE DINITRATE
CHEMBL6966|VERAPAMIL
CHEMBL6995|PRACTOLOL
CHEMBL9967|PIRENZEPINE
CHEMBL10878|AGOMELATINE
CHEMBL11359|CISPLATIN
CHEMBL12610|BENZYDAMINE
CHEMBL12713|SERTINDOLE
CHEMBL12856|INAMRINONE
CHEMBL13209|NITRAZEPAM
CHEMBL13280|FLUNITRAZEPAM
CHEMBL13376|CLOMETACIN
CHEMBL13828|OXATOMIDE
CHEMBL14053|TRICHLOROACETIC ACID
CHEMBL14060|PHENOL
CHEMBL14370|REBOXETINE
CHEMBL14376|ILOPERIDONE
CHEMBL15023|TRIFLUPERIDOL
CHEMBL15245|YOHIMBINE
CHEMBL15677|FENCLOFENAC
CHEMBL15770|SULINDAC
CHEMBL15870|INDOPROFEN
CHEMBL16476|PRONETALOL
CHEMBL17157|TERFENADINE
CHEMBL17860|LOFEXIDINE
CHEMBL18442|PLERIXAFOR
CHEMBL19019|NALTREXONE
CHEMBL19215|METERGOLINE
CHEMBL19224|PAPAVERINE
CHEMBL19236|MOXONIDINE
CHEMBL20883|TEGAFUR
CHEMBL21731|MAPROTILINE
CHEMBL22108|DIMETHINDENE
CHEMBL22242|REMOXIPRIDE
CHEMBL23588|FLUFENAMIC ACID
CHEMBL24072|PRENYLAMINE
CHEMBL24171|BERGAPTEN
CHEMBL24441|BETAHISTINE
CHEMBL24778|SILODOSIN
CHEMBL24828|VANDETANIB
CHEMBL24944|TRIBROMSALAN
CHEMBL27810|CELIPROLOL
CHEMBL28218|BROMPERIDOL
CHEMBL29411|THYMOL
CHEMBL30008|FLUNARIZINE
CHEMBL30219|METHOHEXITAL SODIUM
CHEMBL32800|FENOTEROL
CHEMBL33864|LIPOIC ACID, ALPHA
CHEMBL33986|BUTORPHANOL
CHEMBL34259|METHOTREXATE
CHEMBL36715|PIRACETAM
CHEMBL37744|ZIMELDINE
CHEMBL41286|DIACEREIN
CHEMBL41355|EZOGABINE
CHEMBL42403|BORIC ACID
CHEMBL43064|CINNARIZINE
CHEMBL43128|PRIMAQUINE PHOSPHATE
CHEMBL43452|POMALIDOMIDE
CHEMBL44657|ETOPOSIDE
CHEMBL45816|MIBEFRADIL
CHEMBL46469|ANTHRALIN
CHEMBL46516|FLUSPIRILENE
CHEMBL46740|BAZEDOXIFENE
CHEMBL46917|CARBARIL
CHEMBL48449|CANTHARIDIN
CHEMBL48582|SAFINAMIDE MESYLATE
CHEMBL49080|CLENBUTEROL
CHEMBL52440|DEXTROMETHORPHAN
CHEMBL53292|ISOXICAM
CHEMBL53418|DANTHRON
CHEMBL53463|DOXORUBICIN
CHEMBL54126|NEOSTIGMINE BROMIDE
CHEMBL54349|ALPIDEM
CHEMBL54976|TRYPTOPHAN
CHEMBL55400|PROFLAVINE
CHEMBL56367|NIMESULIDE
CHEMBL56564|TROPISETRON
CHEMBL58323|ERLOSAMIDE
CHEMBL61593|CYCLOTHIAZIDE
CHEMBL62193|SULFADIMETHOXINE
CHEMBL63857|PHENOLPHTHALEIN
CHEMBL64391|ITRACONAZOLE
CHEMBL64894|GENTIAN VIOLET
CHEMBL65375|TIPIRACIL HYDROCHLORIDE
CHEMBL65794|CEFPIROME
CHEMBL70418|CLOBAZAM
CHEMBL70927|DEFERIPRONE
CHEMBL71752|VINPOCETINE
CHEMBL73234|CARBETAPENTANE
CHEMBL73451|MEQUITAZINE
CHEMBL75435|DEXKETOPROFEN
CHEMBL75753|XAMOTEROL
CHEMBL75880|PERHEXILINE
CHEMBL76370|TEGASEROD
CHEMBL86304|MOCLOBEMIDE
CHEMBL87708|LOFEPRAMINE
CHEMBL87992|ESLICARBAZEPINE ACETATE
CHEMBL88055|RIMITEROL
CHEMBL89598|VIGABATRIN
CHEMBL90555|VINCRISTINE
CHEMBL90593|PRASTERONE
CHEMBL92401|IPRONIAZID
CHEMBL92870|LIDOFLAZINE
CHEMBL93268|SODIUM NITRITE
CHEMBL94081|ALCLOFENAC
CHEMBL94394|BUFEXAMAC
CHEMBL94454|MIZOLASTINE
CHEMBL95889|BETAINE
CHEMBL98123|PAPAVERINE HYDROCHLORIDE
CHEMBL110458|MIGALASTAT
CHEMBL110691|CHLORMADINONE ACETATE
CHEMBL112570|CHOLESTEROL
CHEMBL113150|CETRIMIDE
CHEMBL117287|PRUCALOPRIDE
CHEMBL117785|TETRABENAZINE
CHEMBL119443|ERGONOVINE
CHEMBL121626|TOLFENAMIC ACID
CHEMBL121663|DEQUALINIUM CHLORIDE
CHEMBL127516|BUTAMBEN
CHEMBL132530|FORMESTANE
CHEMBL135400|ZOPICLONE
CHEMBL136478|SODIUM NITROPRUSSIDE
CHEMBL139835|CYPROTERONE ACETATE
CHEMBL141305|CYCLOFENIL
CHEMBL142703|VILDAGLIPTIN
CHEMBL144673|HEXETIDINE
CHEMBL146095|GLAFENINE
CHEMBL157101|KETOCONAZOLE
CHEMBL159226|MOXISYLYTE
CHEMBL167150|TRICHLORFON
CHEMBL169901|DEBRISOQUIN
CHEMBL175247|ORLISTAT
CHEMBL180022|NERATINIB
CHEMBL184412|DRONEDARONE
CHEMBL187709|TRIPARANOL
CHEMBL188952|PIRPROFEN
CHEMBL189171|ACEMETACIN
CHEMBL189963|PALBOCICLIB
CHEMBL190461|CANNABIDIOL
CHEMBL191083|METHYLENE BLUE
CHEMBL193240|ROFLUMILAST
CHEMBL193482|ESTRIOL
CHEMBL198362|RIVAROXABAN
CHEMBL201960|PYROVALERONE
CHEMBL206253|NETUPITANT
CHEMBL207538|BREXANOLONE
CHEMBL211471|NEOSTIGMINE METHYLSULFATE
CHEMBL215645|RIVASTIGMINE TARTRATE
CHEMBL219916|DOMPERIDONE
CHEMBL220491|BRINZOLAMIDE
CHEMBL220492|TOPIRAMATE
CHEMBL221959|TOFACITINIB
CHEMBL222863|OUABAIN
CHEMBL223228|EFAVIRENZ
CHEMBL224325|CHLORQUINALDOL
CHEMBL225071|RALTITREXED
CHEMBL225072|PEMETREXED
CHEMBL227529|ALOGLIPTIN BENZOATE
CHEMBL231779|APIXABAN
CHEMBL231884|DIOSMIN
CHEMBL232201|BENZIODARONE
CHEMBL237500|LINAGLIPTIN
CHEMBL238804|SELEXIPAG
CHEMBL239243|TAURINE
CHEMBL240597|CHENODIOL
CHEMBL242580|CICLOPIROX OLAMINE
CHEMBL243712|AMISULPRIDE
CHEMBL244888|NIFUROXAZIDE
CHEMBL249856|ENOXIMONE
CHEMBL250270|LERCANIDIPINE
CHEMBL251940|PERICIAZINE
CHEMBL252556|IDEBENONE
CHEMBL253371|ALVERINE
CHEMBL253582|SUCROSE
CHEMBL254219|DIGITOXIN
CHEMBL254328|ABIRATERONE
CHEMBL254857|FIPEXIDE
CHEMBL255863|NILOTINIB
CHEMBL256087|MENTHOL
CHEMBL256997|ATALUREN
CHEMBL260538|ULIPRISTAL ACETATE
CHEMBL261772|MECLOCYCLINE SULFOSALICYLATE
CHEMBL264374|BEZAFIBRATE
CHEMBL267345|AMPHOTERICIN B
CHEMBL267936|MECAMYLAMINE
CHEMBL268869|SULFAMETHOXYPYRIDAZINE
CHEMBL269732|TACROLIMUS
CHEMBL270190|ALVIMOPAN
CHEMBL271227|ABIRATERONE ACETATE
CHEMBL273575|NOMIFENSINE
CHEMBL276520|INDALPINE
CHEMBL276832|HYDRALAZINE
CHEMBL277062|BROMAZEPAM
CHEMBL277535|BIFONAZOLE
CHEMBL278819|MINAPRINE
CHEMBL279816|TRICHLOROETHYLENE
CHEMBL282042|SAQUINAVIR MESYLATE
CHEMBL282052|METHAQUALONE
CHEMBL282575|ESTRADIOL BENZOATE
CHEMBL282724|SITAXENTAN
CHEMBL284348|DALFAMPRIDINE
CHEMBL285674|ESTAZOLAM
CHEMBL285802|ZOTEPINE
CHEMBL288441|BOSUTINIB
CHEMBL289469|GRANISETRON
CHEMBL290106|BITHIONOL
CHEMBL290916|EDARAVONE
CHEMBL294199|CAPSAICIN
CHEMBL296419|ASTEMIZOLE
CHEMBL296913|PARECOXIB SODIUM
CHEMBL297302|BENPERIDOL
CHEMBL298734|LONAFARNIB
CHEMBL299400|BUTORPHANOL TARTRATE
CHEMBL301265|PRAMIPEXOLE
CHEMBL302795|TENOXICAM
CHEMBL304902|CLOTHIAPINE
CHEMBL305187|IFENPRODIL
CHEMBL305906|CETYLPYRIDINIUM
CHEMBL306823|SODIUM DICHLOROACETATE
CHEMBL307145|PYROGALLOL
CHEMBL311498|CIANIDANOL
CHEMBL312448|XYLOMETAZOLINE
CHEMBL313972|MASOPROCOL
CHEMBL314854|FINGOLIMOD
CHEMBL315795|CLOMETHIAZOLE
CHEMBL315985|ESLICARBAZEPINE
CHEMBL316561|PROGLUMIDE
CHEMBL317094|IMIDAPRIL
CHEMBL325041|BORTEZOMIB
CHEMBL325109|CLEBOPRIDE
CHEMBL328190|LASOFOXIFENE
CHEMBL328560|SULTHIAME
CHEMBL333826|DEQUALINIUM
CHEMBL334966|CANGRELOR
CHEMBL338802|SULFAGUANIDINE
CHEMBL338975|PHYSOSTIGMINE SALICYLATE
CHEMBL341812|IBUFENAC
CHEMBL343448|ROMIDEPSIN
CHEMBL345524|ANTRAFENINE
CHEMBL349803|PIRETANIDE
CHEMBL350221|OXITRIPTAN
CHEMBL354077|AMIFAMPRIDINE
CHEMBL354541|LOMITAPIDE
CHEMBL359744|DOXORUBICIN HYDROCHLORIDE
CHEMBL360055|GALLAMINE
CHEMBL360328|LORCASERIN
CHEMBL361506|PENTAMIDINE ISETHIONATE
CHEMBL363295|TERODILINE
CHEMBL365795|TIAPROFENIC ACID
CHEMBL370805|COCAINE
CHEMBL372795|STREPTOMYCIN
CHEMBL373742|VASOPRESSIN
CHEMBL374478|RIFAMPIN
CHEMBL376897|METHSCOPOLAMINE
CHEMBL378544|VINBLASTINE SULFATE
CHEMBL379845|METHYL NICOTINATE
CHEMBL382301|ATOSIBAN
CHEMBL383634|GLIQUIDONE
CHEMBL383675|TEMOPORFIN
CHEMBL384467|DEXAMETHASONE
CHEMBL386630|TESTOSTERONE
CHEMBL388590|BENZBROMARONE
CHEMBL389621|HYDROCORTISONE
CHEMBL393220|ATORVASTATIN CALCIUM
CHEMBL395091|ESKETAMINE
CHEMBL395429|OXYTOCIN
CHEMBL396778|SAFINAMIDE
CHEMBL397420|ACENOCOUMAROL
CHEMBL398435|TICAGRELOR
CHEMBL398440|CHLOROXYLENOL
CHEMBL398707|HYDROMORPHONE
CHEMBL400599|BENFLUOREX
CHEMBL404108|LUMIRACOXIB
CHEMBL404849|SULOCTIDIL
CHEMBL408403|ANGIOTENSIN II
CHEMBL408513|BELINOSTAT
CHEMBL414804|OXALIPLATIN
CHEMBL416146|ETORICOXIB
CHEMBL416898|CHLOROPHENOTHANE
CHEMBL416956|MEFLOQUINE
CHEMBL418995|AMINEPTINE
CHEMBL419213|LISINOPRIL
CHEMBL421701|DITHIAZANINE IODIDE
CHEMBL427216|GLICLAZIDE
CHEMBL428647|PACLITAXEL
CHEMBL429910|DAPAGLIFLOZIN
CHEMBL431770|ISTRADEFYLLINE
CHEMBL434394|NEBIVOLOL
CHEMBL441738|AFAMELANOTIDE
CHEMBL443605|HEXYLRESORCINOL
CHEMBL444186|RAZOXANE
CHEMBL447629|MITOBRONITOL
CHEMBL450449|TRABECTEDIN
CHEMBL451887|CARFILZOMIB
CHEMBL452231|TENIPOSIDE
CHEMBL459265|HEXAMETHYL PARAROSANILINE
CHEMBL461101|ELTROMBOPAG
CHEMBL462605|PITOLISANT
CHEMBL464982|GAMOLENIC ACID
CHEMBL466659|PENTAERYTHRITOL TETRANITRATE
CHEMBL471737|IVABRADINE
CHEMBL473417|VISMODEGIB
CHEMBL474579|CEFOTETAN
CHEMBL475534|NITRENDIPINE
CHEMBL477772|PAZOPANIB
CHEMBL484785|CRISABOROLE
CHEMBL486696|DOMIPHEN BROMIDE
CHEMBL487253|BENDAMUSTINE
CHEMBL491571|DORIPENEM
CHEMBL493982|VORAPAXAR
CHEMBL499915|CARBENOXOLONE
CHEMBL501867|VINCRISTINE SULFATE
CHEMBL502109|BENZALKONIUM CHLORIDE
CHEMBL504760|CAMPHOR
CHEMBL506247|TANNIC ACID
CHEMBL506569|LANATOSIDE C
CHEMBL508102|CARBIMAZOLE
CHEMBL508338|THIMEROSAL
CHEMBL511142|BUPRENORPHINE
CHEMBL512351|BETRIXABAN
CHEMBL514800|APREMILAST
CHEMBL515606|CILAZAPRIL
CHEMBL515914|AZARIBINE
CHEMBL516476|METHYLATROPINE NITRATE
CHEMBL517712|ATROPINE
CHEMBL521686|OLAPARIB
CHEMBL523299|UMECLIDINIUM BROMIDE
CHEMBL525610|TERIPARATIDE
CHEMBL529437|COCAINE HYDROCHLORIDE
CHEMBL535650|MEFLOQUINE HYDROCHLORIDE
CHEMBL537669|YOHIMBINE HYDROCHLORIDE
CHEMBL538943|VINORELBINE TARTRATE
CHEMBL539770|TERODILINE HYDROCHLORIDE
CHEMBL542541|HYDRALAZINE HYDROCHLORIDE
CHEMBL544428|MIANSERIN HYDROCHLORIDE
CHEMBL544665|FINGOLIMOD HYDROCHLORIDE
CHEMBL550348|DEFERASIROX
CHEMBL550495|METHYLENE BLUE
CHEMBL551466|ACLIDINIUM BROMIDE
CHEMBL552659|FLUNARIZINE HYDROCHLORIDE
CHEMBL553025|VINORELBINE
CHEMBL557555|CIPROFIBRATE
CHEMBL559180|ISOXSUPRINE HYDROCHLORIDE
CHEMBL566315|OBETICHOLIC ACID
CHEMBL567597|ARTEMISININ
CHEMBL569713|SCOPOLAMINE
CHEMBL571546|TIRBANIBULIN
CHEMBL589586|MONOMETHYL FUMARATE
CHEMBL600325|PROSCILLARIDIN
CHEMBL601719|CRIZOTINIB
CHEMBL607400|BRIVARACETAM
CHEMBL608533|MIDOSTAURIN
CHEMBL1076347|TRICLOCARBAN
CHEMBL1079742|ERLOTINIB HYDROCHLORIDE
CHEMBL1082407|ENZALUTAMIDE
CHEMBL1082607|SALMETEROL XINAFOATE
CHEMBL1083385|CLOPIDOGREL BISULFATE
CHEMBL1083659|SUVOREXANT
CHEMBL1083993|AMIODARONE HYDROCHLORIDE
CHEMBL1084172|VILANTEROL TRIFENATATE
CHEMBL1086440|TRICLABENDAZOLE
CHEMBL1089221|BENDAZAC
CHEMBL1089318|OPICAPONE
CHEMBL1089641|TRYPAN BLUE
CHEMBL1094636|NIRAPARIB
CHEMBL1095097|EPLERENONE
CHEMBL1095292|BRETYLIUM TOSYLATE
CHEMBL1095777|INDACATEROL
CHEMBL1096146|PONESIMOD
CHEMBL1096882|FLUDARABINE PHOSPHATE
CHEMBL1096885|VALRUBICIN
CHEMBL1096979|BENSERAZIDE
CHEMBL1097279|CANGRELOR TETRASODIUM
CHEMBL1159650|CLOBETASOL PROPIONATE
CHEMBL1159717|TULOBUTEROL
CHEMBL1164729|FEBUXOSTAT
CHEMBL1165342|VINCAMINE
CHEMBL1171837|PONATINIB
CHEMBL1173055|RUCAPARIB
CHEMBL1180003|CETRIMIDE
CHEMBL1180725|PROPANTHELINE
CHEMBL1185568|DITHIAZANINE
CHEMBL1189679|PALONOSETRON
CHEMBL1197051|ISOXSUPRINE
CHEMBL1199307|DISTIGMINE
CHEMBL1200322|ESCITALOPRAM OXALATE
CHEMBL1200323|LABETALOL HYDROCHLORIDE
CHEMBL1200326|NICARDIPINE HYDROCHLORIDE
CHEMBL1200328|DULOXETINE HYDROCHLORIDE
CHEMBL1200329|TIZANIDINE HYDROCHLORIDE
CHEMBL1200330|PILOCARPINE HYDROCHLORIDE
CHEMBL1200332|PROTRIPTYLINE HYDROCHLORIDE
CHEMBL1200334|MORICIZINE HYDROCHLORIDE
CHEMBL1200335|TESTOSTERONE ENANTHATE
CHEMBL1200338|PINACIDIL
CHEMBL1200339|PHENYLEPHRINE HYDROCHLORIDE
CHEMBL1200341|INDECAINIDE HYDROCHLORIDE
CHEMBL1200342|PARAMETHASONE ACETATE
CHEMBL1200343|PERINDOPRIL ERBUMINE
CHEMBL1200347|ISOPROPAMIDE IODIDE
CHEMBL1200348|SULCONAZOLE NITRATE
CHEMBL1200367|ECHOTHIOPHATE IODIDE
CHEMBL1200370|BENZOYL PEROXIDE
CHEMBL1200374|EXEMESTANE
CHEMBL1200376|BETAMETHASONE BENZOATE
CHEMBL1200377|AMPHETAMINE ASPARTATE
CHEMBL1200379|APRACLONIDINE HYDROCHLORIDE
CHEMBL1200382|BEPRIDIL HYDROCHLORIDE
CHEMBL1200383|BENZTROPINE MESYLATE
CHEMBL1200384|BETAMETHASONE DIPROPIONATE
CHEMBL1200386|PREDNICARBATE
CHEMBL1200387|AMPHETAMINE ADIPATE
CHEMBL1200392|DOXYLAMINE SUCCINATE
CHEMBL1200395|ORPHENADRINE CITRATE
CHEMBL1200396|BUPIVACAINE HYDROCHLORIDE
CHEMBL1200398|BUTOCONAZOLE NITRATE
CHEMBL1200399|BUSPIRONE HYDROCHLORIDE
CHEMBL1200400|AZATHIOPRINE SODIUM
CHEMBL1200402|AMLODIPINE BESYLATE
CHEMBL1200405|BITOLTEROL MESYLATE
CHEMBL1200406|DIMENHYDRINATE
CHEMBL1200409|LIDOCAINE HYDROCHLORIDE
CHEMBL1200411|ROPINIROLE HYDROCHLORIDE
CHEMBL1200412|NANDROLONE PHENPROPIONATE
CHEMBL1200413|TETRAHYDROZOLINE HYDROCHLORIDE
CHEMBL1200418|DOBUTAMINE HYDROCHLORIDE
CHEMBL1200419|MOLINDONE HYDROCHLORIDE
CHEMBL1200420|MIDAZOLAM HYDROCHLORIDE
CHEMBL1200425|PARGYLINE HYDROCHLORIDE
CHEMBL1200426|METHIXENE HYDROCHLORIDE
CHEMBL1200430|ESTRADIOL ACETATE
CHEMBL1200432|METHYLDOPATE HYDROCHLORIDE
CHEMBL1200434|OXTRIPHYLLINE
CHEMBL1200436|OXANDROLONE
CHEMBL1200437|QUINIDINE GLUCONATE
CHEMBL1200438|TIOCONAZOLE
CHEMBL1200440|MEPIVACAINE HYDROCHLORIDE
CHEMBL1200443|MERETHOXYLLINE PROCAINE
CHEMBL1200444|PIRBUTEROL ACETATE
CHEMBL1200446|TRIPELENNAMINE HYDROCHLORIDE
CHEMBL1200449|TRIAMCINOLONE DIACETATE
CHEMBL1200454|VALGANCICLOVIR HYDROCHLORIDE
CHEMBL1200461|MIDODRINE HYDROCHLORIDE
CHEMBL1200463|OXAPROZIN POTASSIUM
CHEMBL1200464|PROPARACAINE HYDROCHLORIDE
CHEMBL1200467|HYDROXYZINE PAMOATE
CHEMBL1200468|MALATHION
CHEMBL1200469|PROMAZINE HYDROCHLORIDE
CHEMBL1200470|ESOMEPRAZOLE SODIUM
CHEMBL1200472|QUAZEPAM
CHEMBL1200473|CYCLOPENTOLATE HYDROCHLORIDE
CHEMBL1200474|DEMECLOCYCLINE HYDROCHLORIDE
CHEMBL1200475|DAUNORUBICIN CITRATE
CHEMBL1200477|ALLOPURINOL SODIUM
CHEMBL1200478|DYCLONINE HYDROCHLORIDE
CHEMBL1200479|DICYCLOMINE HYDROCHLORIDE
CHEMBL1200480|OCTREOTIDE ACETATE
CHEMBL1200483|PHENMETRAZINE HYDROCHLORIDE
CHEMBL1200485|SORAFENIB TOSYLATE
CHEMBL1200487|ETHACRYNATE SODIUM
CHEMBL1200491|EPINASTINE HYDROCHLORIDE
CHEMBL1200492|NEFAZODONE HYDROCHLORIDE
CHEMBL1200493|NAFTIFINE HYDROCHLORIDE
CHEMBL1200494|GUANFACINE HYDROCHLORIDE
CHEMBL1200495|HYDROCORTISONE SODIUM SUCCINATE
CHEMBL1200497|CYCLIZINE LACTATE
CHEMBL1200500|BECLOMETHASONE DIPROPIONATE
CHEMBL1200503|BROMOCRIPTINE MESYLATE
CHEMBL1200514|DEMECARIUM BROMIDE
CHEMBL1200515|DESERPIDINE
CHEMBL1200517|DIHYDROERGOTAMINE MESYLATE
CHEMBL1200521|ALMOTRIPTAN MALATE
CHEMBL1200522|AVOBENZONE
CHEMBL1200527|ATRACURIUM BESYLATE
CHEMBL1200530|CEFOXITIN SODIUM
CHEMBL1200531|ALFENTANIL HYDROCHLORIDE
CHEMBL1200532|METHDILAZINE HYDROCHLORIDE
CHEMBL1200534|MOEXIPRIL HYDROCHLORIDE
CHEMBL1200538|BETAMETHASONE ACETATE
CHEMBL1200541|AMBENONIUM CHLORIDE
CHEMBL1200542|DESOXYCORTICOSTERONE ACETATE
CHEMBL1200543|ANILERIDINE PHOSPHATE
CHEMBL1200545|DIFLORASONE DIACETATE
CHEMBL1200549|RAPACURONIUM BROMIDE
CHEMBL1200550|ANTAZOLINE PHOSPHATE
CHEMBL1200556|DESMOPRESSIN ACETATE
CHEMBL1200559|LACTIC ACID
CHEMBL1200560|GUANABENZ ACETATE
CHEMBL1200561|DOXAZOSIN MESYLATE
CHEMBL1200562|HYDROCORTISONE VALERATE
CHEMBL1200563|CERIVASTATIN SODIUM
CHEMBL1200569|CAFFEINE, CITRATED
CHEMBL1200578|THEOPHYLLINE SODIUM GLYCINATE
CHEMBL1200581|DIATRIZOATE SODIUM
CHEMBL1200585|OXYMETHOLONE
CHEMBL1200586|PRILOCAINE HYDROCHLORIDE
CHEMBL1200589|CEFOTIAM HYDROCHLORIDE
CHEMBL1200592|DESOXYCORTICOSTERONE PIVALATE
CHEMBL1200595|CHLORPHENTERMINE HYDROCHLORIDE
CHEMBL1200596|CHLOROXINE
CHEMBL1200597|ETIDOCAINE HYDROCHLORIDE
CHEMBL1200598|DIETHYLSTILBESTROL DIPHOSPHATE
CHEMBL1200600|FLUOROMETHOLONE
CHEMBL1200601|NARATRIPTAN HYDROCHLORIDE
CHEMBL1200604|TROPICAMIDE
CHEMBL1200606|MEXILETINE HYDROCHLORIDE
CHEMBL1200609|PAROXETINE MESYLATE
CHEMBL1200612|DIBUCAINE HYDROCHLORIDE
CHEMBL1200613|TOLMETIN SODIUM
CHEMBL1200616|CHLOROTHIAZIDE SODIUM
CHEMBL1200617|RIMEXOLONE
CHEMBL1200618|FEXOFENADINE HYDROCHLORIDE
CHEMBL1200621|GEMIFLOXACIN MESYLATE
CHEMBL1200622|PARICALCITOL
CHEMBL1200623|ETHYLESTRENOL
CHEMBL1200624|ETHYNODIOL DIACETATE
CHEMBL1200628|VANCOMYCIN HYDROCHLORIDE
CHEMBL1200629|VECURONIUM BROMIDE
CHEMBL1200632|CLINDAMYCIN PALMITATE HYDROCHLORIDE
CHEMBL1200633|IVERMECTIN
CHEMBL1200635|HYDROCORTAMATE HYDROCHLORIDE
CHEMBL1200636|CYCLOBENZAPRINE HYDROCHLORIDE
CHEMBL1200638|DEXBROMPHENIRAMINE MALEATE
CHEMBL1200641|CISATRACURIUM BESYLATE
CHEMBL1200644|FONDAPARINUX SODIUM
CHEMBL1200645|ETOPOSIDE PHOSPHATE
CHEMBL1200648|ROCURONIUM BROMIDE
CHEMBL1200654|BENOXINATE HYDROCHLORIDE
CHEMBL1200659|ENALAPRIL MALEATE
CHEMBL1200660|ISOSORBIDE
CHEMBL1200661|UNOPROSTONE ISOPROPYL
CHEMBL1200665|DIPHENOXYLATE HYDROCHLORIDE
CHEMBL1200666|CALCIPOTRIENE
CHEMBL1200670|SARALASIN ACETATE
CHEMBL1200675|TOREMIFENE CITRATE
CHEMBL1200679|ZINC CHLORIDE
CHEMBL1200681|MONTELUKAST SODIUM
CHEMBL1200682|SODIUM OXYBATE
CHEMBL1200686|PIMECROLIMUS
CHEMBL1200689|NITRIC OXIDE
CHEMBL1200690|LYPRESSIN
CHEMBL1200692|OLMESARTAN MEDOXOMIL
CHEMBL1200694|SEVOFLURANE
CHEMBL1200695|PHENYLPROPANOLAMINE HYDROCHLORIDE
CHEMBL1200699|DOXYCYCLINE
CHEMBL1200703|CHLORDIAZEPOXIDE HYDROCHLORIDE
CHEMBL1200705|HYDROXYAMPHETAMINE HYDROBROMIDE
CHEMBL1200707|BENZQUINAMIDE HYDROCHLORIDE
CHEMBL1200710|CLOMIPRAMINE HYDROCHLORIDE
CHEMBL1200712|EVANS BLUE
CHEMBL1200715|HEXYLCAINE HYDROCHLORIDE
CHEMBL1200721|ESTRAMUSTINE PHOSPHATE SODIUM
CHEMBL1200722|PIPECURONIUM BROMIDE
CHEMBL1200724|PSEUDOEPHEDRINE HYDROCHLORIDE
CHEMBL1200725|SERTACONAZOLE NITRATE
CHEMBL1200728|GUANIDINE HYDROCHLORIDE
CHEMBL1200732|AMCINONIDE
CHEMBL1200733|DESFLURANE
CHEMBL1200745|OXPRENOLOL HYDROCHLORIDE
CHEMBL1200748|CARBIDOPA
CHEMBL1200749|LEVOBUPIVACAINE HYDROCHLORIDE
CHEMBL1200750|PROMETHAZINE HYDROCHLORIDE
CHEMBL1200751|MERCAPTOPURINE
CHEMBL1200757|PANCURONIUM BROMIDE
CHEMBL1200758|AMPICILLIN SODIUM
CHEMBL1200759|ANAGRELIDE HYDROCHLORIDE
CHEMBL1200760|BALSALAZIDE DISODIUM
CHEMBL1200761|CHLOROTRIANISENE
CHEMBL1200762|BETAMETHASONE SODIUM PHOSPHATE
CHEMBL1200764|METHACHOLINE CHLORIDE
CHEMBL1200769|TRIPELENNAMINE CITRATE
CHEMBL1200771|TRIDIHEXETHYL CHLORIDE
CHEMBL1200772|WARFARIN POTASSIUM
CHEMBL1200773|TOCAINIDE HYDROCHLORIDE
CHEMBL1200774|FLUPREDNISOLONE
CHEMBL1200776|CINACALCET HYDROCHLORIDE
CHEMBL1200779|TROVAFLOXACIN MESYLATE
CHEMBL1200781|CITALOPRAM HYDROBROMIDE
CHEMBL1200782|DEXTROAMPHETAMINE ADIPATE
CHEMBL1200787|PHENOXYBENZAMINE HYDROCHLORIDE
CHEMBL1200789|TRICLOFOS SODIUM
CHEMBL1200790|METHYPRYLON
CHEMBL1200791|OXYMETAZOLINE HYDROCHLORIDE
CHEMBL1200794|OXYMORPHONE HYDROCHLORIDE
CHEMBL1200795|CLEMASTINE FUMARATE
CHEMBL1200796|CYCLOPHOSPHAMIDE
CHEMBL1200798|TRAZODONE HYDROCHLORIDE
CHEMBL1200799|TRAVOPROST
CHEMBL1200802|TALBUTAL
CHEMBL1200803|SOLIFENACIN SUCCINATE
CHEMBL1200804|DICLOFENAC POTASSIUM
CHEMBL1200805|DILTIAZEM MALATE
CHEMBL1200806|NAPROXEN SODIUM
CHEMBL1200807|NORELGESTROMIN
CHEMBL1200809|AZELASTINE HYDROCHLORIDE
CHEMBL1200810|DOXERCALCIFEROL
CHEMBL1200813|ACEBUTOLOL HYDROCHLORIDE
CHEMBL1200814|ACETAZOLAMIDE SODIUM
